0.010	0.042
0.020	0.083
0.030	0.124
0.040	0.165
0.050	0.206
0.060	0.246
0.070	0.287
0.080	0.327
0.090	0.367
0.100	0.406
0.110	0.446
0.120	0.485
0.130	0.524
0.140	0.563
0.150	0.602
0.160	0.640
0.170	0.679
0.180	0.717
0.190	0.755
0.200	0.793
0.210	0.831
0.220	0.868
0.230	0.905
0.240	0.942
0.250	0.979
0.260	1.016
0.270	1.053
0.280	1.089
0.290	1.126
0.300	1.162
0.310	1.198
0.320	1.234
0.330	1.269
0.340	1.305
0.350	1.340
0.360	1.376
0.370	1.411
0.380	1.446
0.390	1.481
0.400	1.515
0.410	1.550
0.420	1.584
0.430	1.618
0.440	1.652
0.450	1.686
0.460	1.720
0.470	1.754
0.480	1.788
0.490	1.821
0.500	1.854
0.510	1.888
0.520	1.921
0.530	1.954
0.540	1.986
0.550	2.019
0.560	2.052
0.570	2.084
0.580	2.116
0.590	2.149
0.600	2.181
0.610	2.213
0.620	2.245
0.630	2.276
0.640	2.308
0.650	2.340
0.660	2.371
0.670	2.402
0.680	2.434
0.690	2.465
0.700	2.496
0.710	2.527
0.720	2.557
0.730	2.588
0.740	2.619
0.750	2.649
0.760	2.680
0.770	2.710
0.780	2.740
0.790	2.770
0.800	2.800
0.810	2.830
0.820	2.860
0.830	2.890
0.840	2.919
0.850	2.949
0.860	2.978
0.870	3.008
0.880	3.037
0.890	3.066
0.900	3.095
0.910	3.124
0.920	3.153
0.930	3.182
0.940	3.211
0.950	3.239
0.960	3.268
0.970	3.296
0.980	3.325
0.990	3.353
1.000	3.381
1.010	3.410
1.020	3.438
1.030	3.466
1.040	3.494
1.050	3.522
1.060	3.549
1.070	3.577
1.080	3.605
1.090	3.632
1.100	3.660
1.110	3.687
1.120	3.715
1.130	3.742
1.140	3.769
1.150	3.796
1.160	3.823
1.170	3.850
1.180	3.877
1.190	3.904
1.200	3.931
1.210	3.957
1.220	3.984
1.230	4.011
1.240	4.037
1.250	4.064
1.260	4.090
1.270	4.116
1.280	4.143
1.290	4.169
1.300	4.195
1.310	4.221
1.320	4.247
1.330	4.273
1.340	4.299
1.350	4.325
1.360	4.351
1.370	4.376
1.380	4.402
1.390	4.427
1.400	4.453
1.410	4.478
1.420	4.504
1.430	4.529
1.440	4.555
1.450	4.580
1.460	4.605
1.470	4.630
1.480	4.655
1.490	4.680
1.500	4.705
1.510	4.730
1.520	4.755
1.530	4.780
1.540	4.804
1.550	4.829
1.560	4.854
1.570	4.878
1.580	4.903
1.590	4.927
1.600	4.952
1.610	4.976
1.620	5.000
1.630	5.025
1.640	5.049
1.650	5.073
1.660	5.097
1.670	5.121
1.680	5.145
1.690	5.169
1.700	5.193
1.710	5.217
1.720	5.241
1.730	5.265
1.740	5.289
1.750	5.312
1.760	5.336
1.770	5.359
1.780	5.383
1.790	5.407
